date,type,pricePerGB,kitPrice,capacity
2016-08,ddr4,5.84,187,32
2016-09,ddr4,5.89,188,32
2016-10,ddr4,6.55,210,32
2016-11,ddr4,6.55,210,32
2016-12,ddr4,7.09,227,32
2017-01,ddr4,8.62,276,32
2017-02,ddr4,9.44,302,32
2017-03,ddr4,9.44,302,32
2017-04,ddr4,9.47,303,32
2017-05,ddr4,9.47,303,32
2017-06,ddr4,8.95,286,32
2017-07,ddr4,9.00,288,32
2017-08,ddr4,9.17,294,32
2017-09,ddr4,10.09,323,32
2017-10,ddr4,12.34,395,32
2017-11,ddr4,13.45,431,32
2017-12,ddr4,11.69,374,32
2018-01,ddr4,12.16,389,32
2018-02,ddr4,11.88,380,32
2018-03,ddr4,11.27,361,32
2018-04,ddr4,10.91,349,32
2018-05,ddr4,11.19,358,32
2018-06,ddr4,10.75,344,32
2018-07,ddr4,10.20,326,32
2018-08,ddr4,9.77,313,32
2018-09,ddr4,9.12,292,32
2018-10,ddr4,8.94,286,32
2018-11,ddr4,8.70,279,32
2018-12,ddr4,9.34,299,32
2019-01,ddr4,8.34,267,32
2019-02,ddr4,7.45,238,32
2019-03,ddr4,7.28,233,32
2019-04,ddr4,6.36,204,32
2019-05,ddr4,5.66,181,32
2019-06,ddr4,5.03,161,32
2019-07,ddr4,7.11,227,32
2019-08,ddr4,7.00,224,32
2019-09,ddr4,5.09,163,32
2019-10,ddr4,4.42,142,32
2019-11,ddr4,4.28,137,32
2019-12,ddr4,4.83,155,32
2020-01,ddr4,5.25,168,32
2020-02,ddr4,5.25,168,32
2020-03,ddr4,5.15,165,32
2020-04,ddr4,5.33,171,32
2020-05,ddr4,5.15,165,32
2020-06,ddr4,4.47,143,32
2020-07,ddr4,3.88,124,32
2020-08,ddr4,4.03,129,32
2020-09,ddr4,3.68,118,32
2020-10,ddr4,4.06,130,32
2020-11,ddr4,4.06,130,32
2020-12,ddr4,4.68,150,32
2021-01,ddr4,5.01,160,32
2021-02,ddr4,5.15,165,32
2021-03,ddr4,5.82,186,32
2021-04,ddr4,6.00,192,32
2021-05,ddr4,5.82,186,32
2021-06,ddr4,5.59,179,32
2021-07,ddr4,5.14,164,32
2021-08,ddr4,5.01,160,32
2021-09,ddr4,4.34,139,32
2021-10,ddr4,4.34,139,32
2021-11,ddr4,4.25,136,32
2021-12,ddr4,4.37,140,32
2022-01,ddr4,4.53,145,32
2022-02,ddr4,4.84,155,32
2022-03,ddr4,4.81,154,32
2022-04,ddr4,4.75,152,32
2022-05,ddr4,4.29,137,32
2022-06,ddr4,4.03,129,32
2022-07,ddr4,4.20,134,32
2022-08,ddr4,4.06,130,32
2022-09,ddr4,4.06,130,32
2022-10,ddr4,3.68,118,32
2022-11,ddr4,3.72,119,32
2022-12,ddr4,3.27,104,32
2023-01,ddr4,3.06,98,32
2023-01,ddr5,7.52,241,32
2023-02,ddr4,2.92,94,32
2023-02,ddr5,5.79,185,32
2023-03,ddr4,2.67,86,32
2023-03,ddr5,5.34,171,32
2023-04,ddr4,2.53,81,32
2023-04,ddr5,4.78,153,32
2023-05,ddr4,2.55,82,32
2023-05,ddr5,4.65,149,32
2023-06,ddr4,2.35,75,32
2023-06,ddr5,4.40,141,32
2023-07,ddr4,2.22,71,32
2023-07,ddr5,3.95,126,32
2023-08,ddr4,2.22,71,32
2023-08,ddr5,3.75,120,32
2023-09,ddr4,2.62,84,32
2023-09,ddr5,4.37,140,32
2023-10,ddr4,2.93,94,32
2023-10,ddr5,4.43,142,32
2023-11,ddr4,2.50,80,32
2023-11,ddr5,4.31,138,32
2023-12,ddr4,2.53,81,32
2023-12,ddr5,4.28,137,32
2024-01,ddr4,2.72,87,32
2024-01,ddr5,3.93,126,32
2024-02,ddr4,2.74,88,32
2024-02,ddr5,4.15,133,32
2024-03,ddr4,2.72,87,32
2024-03,ddr5,4.06,130,32
2024-04,ddr4,2.87,92,32
2024-04,ddr5,4.06,130,32
2024-05,ddr4,2.53,81,32
2024-05,ddr5,3.84,123,32
2024-06,ddr4,2.71,87,32
2024-06,ddr5,3.84,123,32
2024-07,ddr4,2.25,72,32
2024-07,ddr5,3.81,122,32
2024-08,ddr4,2.62,84,32
2024-08,ddr5,3.90,125,32
2024-09,ddr4,2.66,85,32
2024-09,ddr5,3.90,125,32
2024-10,ddr4,2.06,66,32
2024-10,ddr5,3.75,120,32
2024-11,ddr4,2.03,65,32
2024-11,ddr5,3.59,115,32
2024-12,ddr4,2.03,65,32
2024-12,ddr5,3.59,115,32
2025-01,ddr4,2.03,65,32
2025-01,ddr5,3.59,115,32
2025-02,ddr4,2.00,64,32
2025-02,ddr5,3.56,114,32
2025-03,ddr4,2.00,64,32
2025-03,ddr5,3.72,119,32
2025-04,ddr4,2.12,68,32
2025-04,ddr5,4.00,128,32
2025-05,ddr4,2.14,69,32
2025-05,ddr5,3.59,115,32
2025-06,ddr4,2.53,81,32
2025-06,ddr5,4.03,129,32
2025-07,ddr4,2.88,92,32
2025-07,ddr5,4.06,130,32
2025-08,ddr4,2.93,94,32
2025-08,ddr5,3.90,125,32
2025-09,ddr4,3.43,110,32
2025-09,ddr5,4.34,139,32
2025-10,ddr4,4.53,145,32
2025-10,ddr5,6.22,199,32
2025-11,ddr4,6.40,205,32
2025-11,ddr5,10.91,349,32
2025-12,ddr4,7.15,229,32
2025-12,ddr5,15.59,499,32
2026-01,ddr4,8.97,287,32
2026-01,ddr5,16.53,529,32
2026-02,ddr4,7.97,255,32
2026-02,ddr5,15.28,489,32
2026-03,ddr4,6.25,200,32
2026-03,ddr5,13.81,442,32
